from_account,to_account,amount,timestamp,bank_from,bank_to,device_id,is_fraud,topology,flag_ids
VICTIM_STAR_0020,MULE_STAR_0016,76266.75,2026-03-15T14:01:05,BOB,PAYTM,ANDROID_54587,True,star,"['F3', 'F2']"
VICTIM_STAR_0021,MULE_STAR_0016,92149.03,2026-03-15T14:04:36,AIRTEL,PAYTM,ANDROID_54587,True,star,"['F3', 'F2']"
MULE_STAR_0016,CASHOUT_STAR_0022,340224.21,2026-03-15T14:08:44,PAYTM,AXIS,ANDROID_54587,True,star,"['F1', 'F5']"
VICTIM_STAR_0024,MULE_STAR_0023,33315.34,2026-03-15T16:00:16,KOTAK,KOTAK,DEV_18392,True,star,"['F3', 'F2']"
VICTIM_STAR_0025,MULE_STAR_0023,58138.71,2026-03-15T16:04:52,BOB,KOTAK,DEV_18392,True,star,"['F3', 'F2']"
VICTIM_STAR_0026,MULE_STAR_0023,22754.47,2026-03-15T16:03:40,AIRTEL,KOTAK,DEV_18392,True,star,"['F3', 'F2']"
VICTIM_STAR_0027,MULE_STAR_0023,19849.01,2026-03-15T16:02:53,BANDHAN,KOTAK,DEV_18392,True,star,"['F3', 'F2']"
VICTIM_STAR_0028,MULE_STAR_0023,48750.53,2026-03-15T16:02:22,KOTAK,KOTAK,DEV_18392,True,star,"['F3', 'F2']"
VICTIM_STAR_0029,MULE_STAR_0023,67171.59,2026-03-15T16:04:36,KOTAK,KOTAK,DEV_18392,True,star,"['F3', 'F2']"
VICTIM_STAR_0030,MULE_STAR_0023,32099.78,2026-03-15T16:03:25,BOB,KOTAK,DEV_18392,True,star,"['F3', 'F2']"
VICTIM_STAR_0031,MULE_STAR_0023,37819.94,2026-03-15T16:04:44,ICICI,KOTAK,DEV_18392,True,star,"['F3', 'F2']"
MULE_STAR_0023,CASHOUT_STAR_0032,294307.43,2026-03-15T16:09:37,KOTAK,AIRTEL,DEV_18392,True,star,"['F1', 'F5']"
VICTIM_STAR_0034,MULE_STAR_0033,62602.81,2026-03-15T18:02:00,ICICI,PNB,DEV_86569,True,star,"['F3', 'F2']"
VICTIM_STAR_0035,MULE_STAR_0033,21558.67,2026-03-15T18:04:58,CANARA,PNB,DEV_86569,True,star,"['F3', 'F2']"
VICTIM_STAR_0036,MULE_STAR_0033,36249.16,2026-03-15T18:01:07,IDBI,PNB,DEV_86569,True,star,"['F3', 'F2']"
VICTIM_STAR_0037,MULE_STAR_0033,64692.74,2026-03-15T18:04:48,PHONEPE,PNB,DEV_86569,True,star,"['F3', 'F2']"
VICTIM_STAR_0038,MULE_STAR_0033,85469.13,2026-03-15T18:02:05,BOB,PNB,DEV_86569,True,star,"['F3', 'F2']"
MULE_STAR_0033,CASHOUT_STAR_0039,248926.71,2026-03-15T18:09:30,PNB,BOI,DEV_86569,True,star,"['F1', 'F5']"
VICTIM_STAR_0041,MULE_STAR_0040,37540.5,2026-03-15T20:01:47,CANARA,PHONEPE,ANDROID_23577,True,star,"['F3', 'F2']"
VICTIM_STAR_0042,MULE_STAR_0040,54082.55,2026-03-15T20:00:26,IDBI,PHONEPE,ANDROID_23577,True,star,"['F3', 'F2']"
VICTIM_STAR_0043,MULE_STAR_0040,65969.07,2026-03-15T20:02:14,BANDHAN,PHONEPE,ANDROID_23577,True,star,"['F3', 'F2']"
VICTIM_STAR_0044,MULE_STAR_0040,90604.08,2026-03-15T20:01:16,AU_SFB,PHONEPE,ANDROID_23577,True,star,"['F3', 'F2']"
VICTIM_STAR_0045,MULE_STAR_0040,25195.64,2026-03-15T20:02:37,PNB,PHONEPE,ANDROID_23577,True,star,"['F3', 'F2']"
MULE_STAR_0040,CASHOUT_STAR_0046,251520.49,2026-03-15T20:05:52,PHONEPE,BOI,ANDROID_23577,True,star,"['F1', 'F5']"
VICTIM_STAR_0048,MULE_STAR_0047,79178.81,2026-03-15T22:02:07,ICICI,BANDHAN,ANDROID_30257,True,star,"['F3', 'F2']"
VICTIM_STAR_0049,MULE_STAR_0047,30965.83,2026-03-15T22:03:55,ICICI,BANDHAN,ANDROID_30257,True,star,"['F3', 'F2']"
VICTIM_STAR_0050,MULE_STAR_0047,46877.28,2026-03-15T22:02:22,PHONEPE,BANDHAN,ANDROID_30257,True,star,"['F3', 'F2']"
VICTIM_STAR_0051,MULE_STAR_0047,41491.99,2026-03-15T22:00:14,PAYTM,BANDHAN,ANDROID_30257,True,star,"['F3', 'F2']"
VICTIM_STAR_0052,MULE_STAR_0047,62725.7,2026-03-15T22:02:56,PAYTM,BANDHAN,ANDROID_30257,True,star,"['F3', 'F2']"
VICTIM_STAR_0053,MULE_STAR_0047,86960.38,2026-03-15T22:01:37,IDBI,BANDHAN,ANDROID_30257,True,star,"['F3', 'F2']"
VICTIM_STAR_0054,MULE_STAR_0047,44137.72,2026-03-15T22:00:35,PNB,BANDHAN,ANDROID_30257,True,star,"['F3', 'F2']"
MULE_STAR_0047,CASHOUT_STAR_0055,360950.69,2026-03-15T22:07:38,BANDHAN,IDBI,ANDROID_30257,True,star,"['F1', 'F5']"
VICTIM_STAR_0057,MULE_STAR_0056,64241.19,2026-03-16T00:02:34,AXIS,YES,ANDROID_48752,True,star,"['F3', 'F2']"
VICTIM_STAR_0058,MULE_STAR_0056,63532.93,2026-03-16T00:02:44,SBI,YES,ANDROID_48752,True,star,"['F3', 'F2']"
VICTIM_STAR_0059,MULE_STAR_0056,78498.83,2026-03-16T00:01:26,AU_SFB,YES,ANDROID_48752,True,star,"['F3', 'F2']"
VICTIM_STAR_0060,MULE_STAR_0056,41815.06,2026-03-16T00:02:00,BOB,YES,ANDROID_48752,True,star,"['F3', 'F2']"
VICTIM_STAR_0061,MULE_STAR_0056,34587.4,2026-03-16T00:04:03,PHONEPE,YES,ANDROID_48752,True,star,"['F3', 'F2']"
VICTIM_STAR_0062,MULE_STAR_0056,72467.67,2026-03-16T00:03:16,BOB,YES,ANDROID_48752,True,star,"['F3', 'F2']"
VICTIM_STAR_0063,MULE_STAR_0056,77273.63,2026-03-16T00:01:52,YES,YES,ANDROID_48752,True,star,"['F3', 'F2']"
VICTIM_STAR_0064,MULE_STAR_0056,25667.13,2026-03-16T00:03:57,AU_SFB,YES,ANDROID_48752,True,star,"['F3', 'F2']"
MULE_STAR_0056,CASHOUT_STAR_0065,421437.14,2026-03-16T00:09:40,YES,IDBI,ANDROID_48752,True,star,"['F1', 'F5']"
VICTIM_STAR_0067,MULE_STAR_0066,21198.67,2026-03-16T02:02:26,PAYTM,AIRTEL,IMEI_43972,True,star,"['F3', 'F2']"
VICTIM_STAR_0068,MULE_STAR_0066,27066.45,2026-03-16T02:03:16,PAYTM,AIRTEL,IMEI_43972,True,star,"['F3', 'F2']"
VICTIM_STAR_0069,MULE_STAR_0066,58408.89,2026-03-16T02:03:32,HDFC,AIRTEL,IMEI_43972,True,star,"['F3', 'F2']"
VICTIM_STAR_0070,MULE_STAR_0066,45430.48,2026-03-16T02:00:03,AXIS,AIRTEL,IMEI_43972,True,star,"['F3', 'F2']"
VICTIM_STAR_0071,MULE_STAR_0066,86824.91,2026-03-16T02:04:09,PHONEPE,AIRTEL,IMEI_43972,True,star,"['F3', 'F2']"
VICTIM_STAR_0072,MULE_STAR_0066,68509.89,2026-03-16T02:03:27,PAYTM,AIRTEL,IMEI_43972,True,star,"['F3', 'F2']"
VICTIM_STAR_0073,MULE_STAR_0066,87554.31,2026-03-16T02:04:48,ICICI,AIRTEL,IMEI_43972,True,star,"['F3', 'F2']"
VICTIM_STAR_0074,MULE_STAR_0066,29538.32,2026-03-16T02:02:13,SBI,AIRTEL,IMEI_43972,True,star,"['F3', 'F2']"
MULE_STAR_0066,CASHOUT_STAR_0075,390569.37,2026-03-16T02:07:22,AIRTEL,YES,IMEI_43972,True,star,"['F1', 'F5']"
VICTIM_STAR_0077,MULE_STAR_0076,75338.66,2026-03-16T04:02:06,BOI,BOB,IMEI_12540,True,star,"['F3', 'F2']"
VICTIM_STAR_0078,MULE_STAR_0076,60117.57,2026-03-16T04:01:51,SBI,BOB,IMEI_12540,True,star,"['F3', 'F2']"
VICTIM_STAR_0079,MULE_STAR_0076,77223.35,2026-03-16T04:01:23,PAYTM,BOB,IMEI_12540,True,star,"['F3', 'F2']"
VICTIM_STAR_0080,MULE_STAR_0076,46732.36,2026-03-16T04:01:41,CANARA,BOB,IMEI_12540,True,star,"['F3', 'F2']"
VICTIM_STAR_0081,MULE_STAR_0076,79442.24,2026-03-16T04:04:49,KOTAK,BOB,IMEI_12540,True,star,"['F3', 'F2']"
VICTIM_STAR_0082,MULE_STAR_0076,20516.54,2026-03-16T04:02:54,PNB,BOB,IMEI_12540,True,star,"['F3', 'F2']"
VICTIM_STAR_0083,MULE_STAR_0076,71584.69,2026-03-16T04:03:42,BANDHAN,BOB,IMEI_12540,True,star,"['F3', 'F2']"
VICTIM_STAR_0084,MULE_STAR_0076,40784.37,2026-03-16T04:02:05,PAYTM,BOB,IMEI_12540,True,star,"['F3', 'F2']"
MULE_STAR_0076,CASHOUT_STAR_0085,434000.58,2026-03-16T04:08:14,BOB,BOB,IMEI_12540,True,star,"['F1', 'F5']"
VICTIM_STAR_0087,MULE_STAR_0086,59463.28,2026-03-16T06:04:24,BOI,AIRTEL,IMEI_33834,True,star,"['F3', 'F2']"
VICTIM_STAR_0088,MULE_STAR_0086,75653.17,2026-03-16T06:04:03,BOB,AIRTEL,IMEI_33834,True,star,"['F3', 'F2']"
VICTIM_STAR_0089,MULE_STAR_0086,47352.09,2026-03-16T06:02:04,AIRTEL,AIRTEL,IMEI_33834,True,star,"['F3', 'F2']"
VICTIM_STAR_0090,MULE_STAR_0086,94730.52,2026-03-16T06:04:41,BOI,AIRTEL,IMEI_33834,True,star,"['F3', 'F2']"
VICTIM_STAR_0091,MULE_STAR_0086,24652.47,2026-03-16T06:01:38,BOI,AIRTEL,IMEI_33834,True,star,"['F3', 'F2']"
VICTIM_STAR_0092,MULE_STAR_0086,72966.8,2026-03-16T06:04:28,CANARA,AIRTEL,IMEI_33834,True,star,"['F3', 'F2']"
VICTIM_STAR_0093,MULE_STAR_0086,29355.32,2026-03-16T06:00:07,PHONEPE,AIRTEL,IMEI_33834,True,star,"['F3', 'F2']"
MULE_STAR_0086,CASHOUT_STAR_0094,371839.76,2026-03-16T06:09:11,AIRTEL,HDFC,IMEI_33834,True,star,"['F1', 'F5']"
VICTIM_STAR_0096,MULE_STAR_0095,47056.6,2026-03-16T08:00:37,ICICI,PHONEPE,IMEI_72746,True,star,"['F3', 'F2']"
VICTIM_STAR_0097,MULE_STAR_0095,94513.45,2026-03-16T08:01:00,PNB,PHONEPE,IMEI_72746,True,star,"['F3', 'F2']"
VICTIM_STAR_0098,MULE_STAR_0095,38788.25,2026-03-16T08:03:39,BANDHAN,PHONEPE,IMEI_72746,True,star,"['F3', 'F2']"
VICTIM_STAR_0099,MULE_STAR_0095,67834.25,2026-03-16T08:01:20,PNB,PHONEPE,IMEI_72746,True,star,"['F3', 'F2']"
VICTIM_STAR_0100,MULE_STAR_0095,70149.69,2026-03-16T08:04:00,ICICI,PHONEPE,IMEI_72746,True,star,"['F3', 'F2']"
MULE_STAR_0095,CASHOUT_STAR_0101,292874.86,2026-03-16T08:05:36,PHONEPE,PHONEPE,IMEI_72746,True,star,"['F1', 'F5']"
VICTIM_STAR_0103,MULE_STAR_0102,78410.29,2026-03-16T10:04:51,HDFC,AXIS,IMEI_25043,True,star,"['F3', 'F2']"
VICTIM_STAR_0104,MULE_STAR_0102,90414.1,2026-03-16T10:04:16,AU_SFB,AXIS,IMEI_25043,True,star,"['F3', 'F2']"
VICTIM_STAR_0105,MULE_STAR_0102,73762.71,2026-03-16T10:02:08,AIRTEL,AXIS,IMEI_25043,True,star,"['F3', 'F2']"
VICTIM_STAR_0106,MULE_STAR_0102,94965.79,2026-03-16T10:02:17,BOB,AXIS,IMEI_25043,True,star,"['F3', 'F2']"
VICTIM_STAR_0107,MULE_STAR_0102,88285.82,2026-03-16T10:01:32,PNB,AXIS,IMEI_25043,True,star,"['F3', 'F2']"
VICTIM_STAR_0108,MULE_STAR_0102,41664.67,2026-03-16T10:00:53,BANDHAN,AXIS,IMEI_25043,True,star,"['F3', 'F2']"
MULE_STAR_0102,CASHOUT_STAR_0109,430103.12,2026-03-16T10:09:41,AXIS,ICICI,IMEI_25043,True,star,"['F1', 'F5']"
VICTIM_STAR_0111,MULE_STAR_0110,19336.33,2026-03-16T12:04:25,YES,BOB,IMEI_43082,True,star,"['F3', 'F2']"
VICTIM_STAR_0112,MULE_STAR_0110,25481.06,2026-03-16T12:02:27,AIRTEL,BOB,IMEI_43082,True,star,"['F3', 'F2']"
VICTIM_STAR_0113,MULE_STAR_0110,71782.63,2026-03-16T12:02:39,AIRTEL,BOB,IMEI_43082,True,star,"['F3', 'F2']"
VICTIM_STAR_0114,MULE_STAR_0110,90764.86,2026-03-16T12:01:18,SBI,BOB,IMEI_43082,True,star,"['F3', 'F2']"
VICTIM_STAR_0115,MULE_STAR_0110,51542.92,2026-03-16T12:01:14,PHONEPE,BOB,IMEI_43082,True,star,"['F3', 'F2']"
MULE_STAR_0110,CASHOUT_STAR_0116,238195.17,2026-03-16T12:09:19,BOB,YES,IMEI_43082,True,star,"['F1', 'F5']"
VICTIM_STAR_0118,MULE_STAR_0117,41595.2,2026-03-16T14:04:38,AIRTEL,PHONEPE,ANDROID_49132,True,star,"['F3', 'F2']"
VICTIM_STAR_0119,MULE_STAR_0117,45637.67,2026-03-16T14:03:30,AU_SFB,PHONEPE,ANDROID_49132,True,star,"['F3', 'F2']"
VICTIM_STAR_0120,MULE_STAR_0117,54626.29,2026-03-16T14:00:18,IDBI,PHONEPE,ANDROID_49132,True,star,"['F3', 'F2']"
VICTIM_STAR_0121,MULE_STAR_0117,16227.81,2026-03-16T14:01:13,IDBI,PHONEPE,ANDROID_49132,True,star,"['F3', 'F2']"
VICTIM_STAR_0122,MULE_STAR_0117,70416.37,2026-03-16T14:00:41,HDFC,PHONEPE,ANDROID_49132,True,star,"['F3', 'F2']"
VICTIM_STAR_0123,MULE_STAR_0117,17871.93,2026-03-16T14:00:35,YES,PHONEPE,ANDROID_49132,True,star,"['F3', 'F2']"
VICTIM_STAR_0124,MULE_STAR_0117,75829.58,2026-03-16T14:00:51,PHONEPE,PHONEPE,ANDROID_49132,True,star,"['F3', 'F2']"
MULE_STAR_0117,CASHOUT_STAR_0125,296428.45,2026-03-16T14:07:30,PHONEPE,AU_SFB,ANDROID_49132,True,star,"['F1', 'F5']"
VICTIM_STAR_0127,MULE_STAR_0126,64576.83,2026-03-16T16:02:03,ICICI,BANDHAN,DEV_42007,True,star,"['F3', 'F2']"
VICTIM_STAR_0128,MULE_STAR_0126,35426.14,2026-03-16T16:00:04,HDFC,BANDHAN,DEV_42007,True,star,"['F3', 'F2']"
VICTIM_STAR_0129,MULE_STAR_0126,38932.34,2026-03-16T16:03:37,PHONEPE,BANDHAN,DEV_42007,True,star,"['F3', 'F2']"
VICTIM_STAR_0130,MULE_STAR_0126,23532.26,2026-03-16T16:03:15,PAYTM,BANDHAN,DEV_42007,True,star,"['F3', 'F2']"
VICTIM_STAR_0131,MULE_STAR_0126,36958.43,2026-03-16T16:04:49,BOI,BANDHAN,DEV_42007,True,star,"['F3', 'F2']"
VICTIM_STAR_0132,MULE_STAR_0126,32520.36,2026-03-16T16:01:37,PNB,BANDHAN,DEV_42007,True,star,"['F3', 'F2']"
VICTIM_STAR_0133,MULE_STAR_0126,39714.63,2026-03-16T16:03:45,PAYTM,BANDHAN,DEV_42007,True,star,"['F3', 'F2']"
MULE_STAR_0126,CASHOUT_STAR_0134,249928.11,2026-03-16T16:07:47,BANDHAN,PNB,DEV_42007,True,star,"['F1', 'F5']"
VICTIM_STAR_0136,MULE_STAR_0135,79338.6,2026-03-16T18:03:59,PAYTM,AXIS,DEV_80701,True,star,"['F3', 'F2']"
VICTIM_STAR_0137,MULE_STAR_0135,92381.58,2026-03-16T18:04:45,HDFC,AXIS,DEV_80701,True,star,"['F3', 'F2']"
VICTIM_STAR_0138,MULE_STAR_0135,51382.88,2026-03-16T18:02:14,BOB,AXIS,DEV_80701,True,star,"['F3', 'F2']"
VICTIM_STAR_0139,MULE_STAR_0135,17001.97,2026-03-16T18:04:47,YES,AXIS,DEV_80701,True,star,"['F3', 'F2']"
VICTIM_STAR_0140,MULE_STAR_0135,24334.07,2026-03-16T18:00:23,KOTAK,AXIS,DEV_80701,True,star,"['F3', 'F2']"
VICTIM_STAR_0141,MULE_STAR_0135,25853.12,2026-03-16T18:03:52,PHONEPE,AXIS,DEV_80701,True,star,"['F3', 'F2']"
VICTIM_STAR_0142,MULE_STAR_0135,64252.18,2026-03-16T18:02:23,BANDHAN,AXIS,DEV_80701,True,star,"['F3', 'F2']"
VICTIM_STAR_0143,MULE_STAR_0135,22948.37,2026-03-16T18:03:08,BOI,AXIS,DEV_80701,True,star,"['F3', 'F2']"
MULE_STAR_0135,CASHOUT_STAR_0144,347293.36,2026-03-16T18:05:46,AXIS,BOI,DEV_80701,True,star,"['F1', 'F5']"
VICTIM_STAR_0146,MULE_STAR_0145,80044.24,2026-03-16T20:01:59,AXIS,SBI,DEV_53713,True,star,"['F3', 'F2']"
VICTIM_STAR_0147,MULE_STAR_0145,35052.34,2026-03-16T20:01:29,HDFC,SBI,DEV_53713,True,star,"['F3', 'F2']"
VICTIM_STAR_0148,MULE_STAR_0145,40901.72,2026-03-16T20:01:29,SBI,SBI,DEV_53713,True,star,"['F3', 'F2']"
VICTIM_STAR_0149,MULE_STAR_0145,74653.22,2026-03-16T20:04:03,PNB,SBI,DEV_53713,True,star,"['F3', 'F2']"
VICTIM_STAR_0150,MULE_STAR_0145,18469.2,2026-03-16T20:04:26,BOI,SBI,DEV_53713,True,star,"['F3', 'F2']"
VICTIM_STAR_0151,MULE_STAR_0145,69887.8,2026-03-16T20:04:11,AU_SFB,SBI,DEV_53713,True,star,"['F3', 'F2']"
MULE_STAR_0145,CASHOUT_STAR_0152,293487.83,2026-03-16T20:06:04,SBI,AU_SFB,DEV_53713,True,star,"['F1', 'F5']"
VICTIM_STAR_0154,MULE_STAR_0153,72667.19,2026-03-16T22:01:50,AU_SFB,IDBI,IMEI_88301,True,star,"['F3', 'F2']"
VICTIM_STAR_0155,MULE_STAR_0153,48279.17,2026-03-16T22:00:48,AU_SFB,IDBI,IMEI_88301,True,star,"['F3', 'F2']"
VICTIM_STAR_0156,MULE_STAR_0153,69945.68,2026-03-16T22:04:02,BANDHAN,IDBI,IMEI_88301,True,star,"['F3', 'F2']"
VICTIM_STAR_0157,MULE_STAR_0153,79941.54,2026-03-16T22:04:44,BOB,IDBI,IMEI_88301,True,star,"['F3', 'F2']"
VICTIM_STAR_0158,MULE_STAR_0153,84447.37,2026-03-16T22:00:26,IDBI,IDBI,IMEI_88301,True,star,"['F3', 'F2']"
VICTIM_STAR_0159,MULE_STAR_0153,27378.41,2026-03-16T22:04:06,PHONEPE,IDBI,IMEI_88301,True,star,"['F3', 'F2']"
VICTIM_STAR_0160,MULE_STAR_0153,60928.0,2026-03-16T22:03:39,CANARA,IDBI,IMEI_88301,True,star,"['F3', 'F2']"
MULE_STAR_0153,CASHOUT_STAR_0161,408100.39,2026-03-16T22:07:53,IDBI,SBI,IMEI_88301,True,star,"['F1', 'F5']"
VICTIM_STAR_0163,MULE_STAR_0162,45095.55,2026-03-17T00:03:52,HDFC,ICICI,DEV_84228,True,star,"['F3', 'F2']"
VICTIM_STAR_0164,MULE_STAR_0162,62697.9,2026-03-17T00:00:26,ICICI,ICICI,DEV_84228,True,star,"['F3', 'F2']"
VICTIM_STAR_0165,MULE_STAR_0162,67955.1,2026-03-17T00:04:08,ICICI,ICICI,DEV_84228,True,star,"['F3', 'F2']"
VICTIM_STAR_0166,MULE_STAR_0162,42613.83,2026-03-17T00:00:56,AU_SFB,ICICI,DEV_84228,True,star,"['F3', 'F2']"
VICTIM_STAR_0167,MULE_STAR_0162,19382.56,2026-03-17T00:01:44,AIRTEL,ICICI,DEV_84228,True,star,"['F3', 'F2']"
VICTIM_STAR_0168,MULE_STAR_0162,15618.39,2026-03-17T00:03:40,AXIS,ICICI,DEV_84228,True,star,"['F3', 'F2']"
VICTIM_STAR_0169,MULE_STAR_0162,59697.89,2026-03-17T00:03:01,HDFC,ICICI,DEV_84228,True,star,"['F3', 'F2']"
MULE_STAR_0162,CASHOUT_STAR_0170,288016.32,2026-03-17T00:07:40,ICICI,BOB,DEV_84228,True,star,"['F1', 'F5']"
VICTIM_STAR_0172,MULE_STAR_0171,51807.75,2026-03-17T02:03:05,CANARA,YES,ANDROID_93904,True,star,"['F3', 'F2']"
VICTIM_STAR_0173,MULE_STAR_0171,56917.0,2026-03-17T02:03:22,BANDHAN,YES,ANDROID_93904,True,star,"['F3', 'F2']"
VICTIM_STAR_0174,MULE_STAR_0171,65657.97,2026-03-17T02:04:31,IDBI,YES,ANDROID_93904,True,star,"['F3', 'F2']"
VICTIM_STAR_0175,MULE_STAR_0171,33901.51,2026-03-17T02:01:14,AXIS,YES,ANDROID_93904,True,star,"['F3', 'F2']"
VICTIM_STAR_0176,MULE_STAR_0171,29171.69,2026-03-17T02:04:12,AXIS,YES,ANDROID_93904,True,star,"['F3', 'F2']"
VICTIM_STAR_0177,MULE_STAR_0171,20462.9,2026-03-17T02:03:46,AU_SFB,YES,ANDROID_93904,True,star,"['F3', 'F2']"
VICTIM_STAR_0178,MULE_STAR_0171,20935.25,2026-03-17T02:03:56,PHONEPE,YES,ANDROID_93904,True,star,"['F3', 'F2']"
VICTIM_STAR_0179,MULE_STAR_0171,64200.67,2026-03-17T02:04:19,PNB,YES,ANDROID_93904,True,star,"['F3', 'F2']"
MULE_STAR_0171,CASHOUT_STAR_0180,315610.37,2026-03-17T02:07:44,YES,YES,ANDROID_93904,True,star,"['F1', 'F5']"
VICTIM_STAR_0182,MULE_STAR_0181,56925.48,2026-03-17T04:01:21,BOB,HDFC,DEV_69050,True,star,"['F3', 'F2']"
VICTIM_STAR_0183,MULE_STAR_0181,19189.24,2026-03-17T04:02:51,BOI,HDFC,DEV_69050,True,star,"['F3', 'F2']"
VICTIM_STAR_0184,MULE_STAR_0181,35159.66,2026-03-17T04:01:16,IDBI,HDFC,DEV_69050,True,star,"['F3', 'F2']"
VICTIM_STAR_0185,MULE_STAR_0181,25316.13,2026-03-17T04:00:43,BOB,HDFC,DEV_69050,True,star,"['F3', 'F2']"
VICTIM_STAR_0186,MULE_STAR_0181,22476.24,2026-03-17T04:03:36,YES,HDFC,DEV_69050,True,star,"['F3', 'F2']"
VICTIM_STAR_0187,MULE_STAR_0181,42338.59,2026-03-17T04:04:08,BOI,HDFC,DEV_69050,True,star,"['F3', 'F2']"
VICTIM_STAR_0188,MULE_STAR_0181,55615.18,2026-03-17T04:04:36,KOTAK,HDFC,DEV_69050,True,star,"['F3', 'F2']"
VICTIM_STAR_0189,MULE_STAR_0181,27340.22,2026-03-17T04:01:32,PNB,HDFC,DEV_69050,True,star,"['F3', 'F2']"
MULE_STAR_0181,CASHOUT_STAR_0190,261611.88,2026-03-17T04:08:47,HDFC,ICICI,DEV_69050,True,star,"['F1', 'F5']"
VICTIM_STAR_0192,MULE_STAR_0191,51934.4,2026-03-17T06:02:24,AIRTEL,KOTAK,ANDROID_41348,True,star,"['F3', 'F2']"
VICTIM_STAR_0193,MULE_STAR_0191,84840.15,2026-03-17T06:00:26,YES,KOTAK,ANDROID_41348,True,star,"['F3', 'F2']"
VICTIM_STAR_0194,MULE_STAR_0191,37805.04,2026-03-17T06:01:22,AIRTEL,KOTAK,ANDROID_41348,True,star,"['F3', 'F2']"
VICTIM_STAR_0195,MULE_STAR_0191,85770.38,2026-03-17T06:00:13,AU_SFB,KOTAK,ANDROID_41348,True,star,"['F3', 'F2']"
VICTIM_STAR_0196,MULE_STAR_0191,94562.03,2026-03-17T06:03:11,PNB,KOTAK,ANDROID_41348,True,star,"['F3', 'F2']"
VICTIM_STAR_0197,MULE_STAR_0191,78310.45,2026-03-17T06:01:10,SBI,KOTAK,ANDROID_41348,True,star,"['F3', 'F2']"
VICTIM_STAR_0198,MULE_STAR_0191,64227.86,2026-03-17T06:00:40,PHONEPE,KOTAK,ANDROID_41348,True,star,"['F3', 'F2']"
MULE_STAR_0191,CASHOUT_STAR_0199,457654.29,2026-03-17T06:08:36,KOTAK,SBI,ANDROID_41348,True,star,"['F1', 'F5']"
VICTIM_STAR_0201,MULE_STAR_0200,57884.3,2026-03-17T08:04:23,BANDHAN,KOTAK,IMEI_25970,True,star,"['F3', 'F2']"
VICTIM_STAR_0202,MULE_STAR_0200,43225.28,2026-03-17T08:04:52,KOTAK,KOTAK,IMEI_25970,True,star,"['F3', 'F2']"
VICTIM_STAR_0203,MULE_STAR_0200,58526.56,2026-03-17T08:04:19,ICICI,KOTAK,IMEI_25970,True,star,"['F3', 'F2']"
VICTIM_STAR_0204,MULE_STAR_0200,93483.15,2026-03-17T08:02:09,SBI,KOTAK,IMEI_25970,True,star,"['F3', 'F2']"
VICTIM_STAR_0205,MULE_STAR_0200,76720.11,2026-03-17T08:02:50,SBI,KOTAK,IMEI_25970,True,star,"['F3', 'F2']"
